,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
0,1167280.0441810344,45064588.94444445,10878170.328719724,741202502.4,35545934.39175258,1547962023.724138,55828.826912715514,3790442929.4344826,5365266.788927335,5368505635.310345,78782141.64705883,7449128993.429553,14060407.27586207,10666647982.786207,724349.5221982759,14963263064.275862,110199.97064230104,21469012737.76552,2239671.3297413792,28250734991.780823,174385.27718321918,230424.4029519896,461878125.5724138,284342.62440732756,351885230.6254296,252835.53597508592,199760126.56551725,28087765232.110344,111291947.7260274,39855234157.08591,42632490414.78621,48373939913.26897,36673992429.52577,51451250250.151726,12190134.288659794,58680092524.206184,57288802050.639175,67158448332.09622,62560921832.24742,69883592463.88965,70977910650.28178,79588641253.60825,78644248999.72414,80793605911.75258,86660218371.53104,65207183766.79452,94109649325.30585,93592073838.84537,103375277006.56552,105177761664.88275,76986379723.03448,113621914289.70447,124624699251.24399,99638264063.11418,103229507598.12415,108091165410.96907,138099491773.1409,118256626656.3299,158604086903.23288,336148409.6219931,165802892101.4983,77800452616.79726,176605968844.62283,3480105.7120689657,173610036164.17868,793741.0469290657,231625791537.26462,1356446.945934256,201545804213.84827,5271407.105172413,266142189723.3655,1079056.2046232878,299484262723.73883,671845.3357234589,294570962366.9003
1,1166267.8012931035,45037607.31944445,10857922.08650519,740735597.4620689,35494212.893470794,1547494794.151724,53541.94905711207,3788483647.5586205,5336740.901384083,5368018094.786207,78600085.70242214,7447343239.477663,13966421.051724138,10663885506.206896,699434.6793103449,14959211813.075863,106394.35096777682,21464344879.668964,2189768.314224138,28245174524.49315,174182.31905500856,230150.28373702423,461435416.7172414,262251.8910560345,350911099.49140894,230162.5088595361,199183784.22068965,28080287405.02069,110911753.12328768,39850060585.34708,42620317780.74483,48370691997.131035,36658569779.024055,51434590843.586205,11872043.20274914,58658472344.19244,57265251190.762886,67150519672.52234,62530661485.08591,69858418885.73793,70946719962.17181,79564291814.48798,78615301889.76552,80765098117.71822,86643931545.6,65158739645.369865,94080889380.94846,93570992923.27148,103343030780.46896,105141262208.88275,76957414844.91034,113601882372.39862,124598452252.1512,99614118157.2872,103214536068.41379,108055900061.4708,138079501801.12714,118231283733.1134,158551396520.32877,334309658.9415808,165760404448.3299,77782715923.35396,176631776309.1488,3354725.920689655,173574777176.85223,744183.8125,231606699335.25772,1284056.4044117648,201503808632.05518,5062997.6931034485,266087338125.2414,989143.477525685,299409641317.1684,589104.0799443494,294461840647.91754
2,1168877.5474137932,45020453.88888889,10843533.456747405,740496850.9793104,35454154.240549825,1547319736.4965518,51930.572790948274,3789496094.013793,5308164.385813149,5368115870.896552,78470501.78546713,7446312254.460481,13926472.531034483,10662714675.2,687978.2502155172,14957447012.634483,104720.92268598615,21461574493.572414,2161784.540517241,28240856021.91781,174197.82609160958,229910.24005190312,461422967.06206894,250705.42726293104,350505291.76632303,218242.85916022336,198738408.88275862,28074526515.2,110618216.35616438,39839849961.12715,42623223723.25517,48359022704.9931,36654876313.07217,51431157943.61379,11791438.378006874,58653959945.67698,57259965872.824745,67145098257.594505,62534776402.69416,69851554879.55862,70941898280.46736,79557077899.87628,78609283142.6207,80759401186.96907,86626744023.3931,65155343107.50685,94074154036.78351,93552626600.0275,103333355463.50345,105132661654.06897,76948194748.91034,113548559067.93127,124575580441.51202,99593724726.0346,103189017056.22069,108046337998.7354,138061650166.32303,118222560548.06873,158575748811.39725,333455086.40549827,165759396747.87628,77782088883.46391,176580074924.73355,3346225.250862069,173565570832.71478,740335.7928200692,231572075270.15808,1267844.1081314879,201482682424.49655,5013632.362068965,266063521156.4138,952126.0089897261,299389401278.0206,568816.2818921233,294458824528.055
3,1166310.497413793,45006095.291666664,10836965.539792387,740484157.1310345,35439172.769759454,1546877918.4551723,50747.93327047414,3792515874.427586,5302033.807958477,5366833904.110345,78473016.2214533,7446533491.243986,13924966.820689656,10662457569.986206,687673.3189655172,14957492195.751724,104695.1978265571,21461422136.49655,2161165.7405172414,28241184648.767124,174202.92508561644,229883.35688797577,461417472.55172414,250280.4811422414,350515457.97938144,217957.89819587627,198682240.66206896,28072547455.11724,110491698.63013698,39828133782.43299,42610638551.393105,48355910013.35172,36656729042.254295,51432324908.13793,11790464.508591065,58653644933.718216,57263424445.14089,67136033429.55326,62531516296.35739,69856800683.25517,70939136070.378,79553621917.4708,78609129895.72414,80756902232.85223,86631947949.02069,65136238227.287674,94074163157.7732,93558575455.89003,103332310588.02759,105132906255.88965,76946259290.04138,113564298996.56357,124571780535.86255,99593465133.17647,103191508186.92413,108037843429.60825,138051365208.85223,118211837360.82474,158530260823.67123,333005084.26116836,165729575672.0825,77776057150.46048,176620493345.6609,3237692.6818965515,173543346696.79724,699708.4407439446,231566816681.78696,1216440.7184256054,201488610946.6483,4959453.4655172415,266053379686.4,936654.765625,299379365036.4261,569461.5361729452,294482359158.7629
4,1167192.8185344827,45004456.527777776,10835371.155709343,740671901.1310345,35436228.082474224,1546987348.3034482,50672.45394665948,3789933415.2827587,5301190.30449827,5367662466.648276,78471627.73702422,7446276212.123712,13917673.313793104,10662438113.986206,687333.6353448275,14957399601.434483,104670.61556552768,21461052938.593105,2160736.5146551724,28244628017.09589,174296.7047303082,229873.15062716263,461414655.44827586,250112.84849137932,350430122.00687283,217809.11393900344,198684631.72413793,28073422177.103447,110499332.73972602,39833311126.43299,42620429234.31724,48361551462.4,36654783611.161514,51430496128.88276,11788600.082474226,58653296069.93814,57264659128.74227,67143729532.04124,62540169849.40206,69853231824.33104,70936923582.90034,79552568443.16151,78608937185.9862,80759073704.0275,86635692851.2,65146592536.54794,94078042224.60481,93586166731.21649,103333126087.50345,105132536259.97241,76947843199.11725,113543718665.67697,124572667467.65636,99592362841.46713,103182651392.0,107989681591.86255,138046672178.14432,118214551333.82819,158517720947.726,333001738.22680414,165743633988.61856,77760408685.0859,176584069559.3633,3227969.9706896553,173543110395.60138,690988.8957612456,231568321757.69073,1204354.4359861591,201465588149.84827,4956563.0120689655,266052489865.71036,936030.5764126712,299387979529.677,568770.8371147261,294485290712.41235
5,1167897.0879310344,45002580.43055555,10834310.010380622,740509351.0620689,35437287.477663234,1546988193.986207,50597.03228717673,3789165295.2275863,5300340.851211073,5367293854.896552,78468104.24913494,7446197934.185567,13918718.879310345,10662549811.2,687254.5909482759,14957418153.489655,104644.24064662629,21461457849.37931,2160346.9443965517,28241897373.80822,174217.0960509418,229865.02476211073,461406070.1793103,249960.98297413794,350412246.8728522,217646.51702104812,198679954.70344827,28073114602.813793,110498171.80821918,39837763802.17182,42615378979.31035,48359015812.413795,36655027949.52577,51429518540.8,11787872.38831615,58654254379.10653,57260581666.30928,67142983412.563576,62525655581.91065,69852266933.84828,70940106386.03436,79556169094.59793,78607038365.13103,80757294885.82819,86630893384.3862,65144815167.12329,94073987381.66322,93578507746.08934,103333980315.36552,105133047327.77931,76946364938.59311,113541524335.72508,124574746631.0378,99592072833.32872,103183559065.6,108011139649.09966,138049814218.33676,118215618208.10997,158543063741.36987,332991136.7697595,165719619886.62543,77759638749.69072,176527990415.50174,3226965.3146551726,173542505088.43985,690610.0763408304,231573343819.65637,1203632.1769031142,201473859301.51724,4955093.679310345,266052502690.42758,935519.6389126712,299387532713.7869,568851.4791309931,294443410055.47766
6,1165843.5726293104,44997284.55555555,10833222.408304498,740634258.0965518,35435513.18213058,1547052284.4689655,50534.1375,3785549189.2965517,5299811.493079585,5366661706.151724,78455990.67128028,7446128451.7388315,13919381.610344827,10662433428.303448,687007.8275862068,14957322458.924137,104625.06533845156,21461059619.310345,2159803.5280172415,28240138408.328766,174277.7261344178,229863.43658088235,461415989.1862069,249878.30404094828,350410980.39862543,217550.88675902062,198673896.3862069,28073590946.427586,110448150.8219178,39837436445.91065,42611482270.89655,48354418984.606895,36656068938.776634,51430061797.51724,11787232.869415808,58655445132.75601,57265123919.175255,67147464422.487976,62535054269.14089,69846778985.93103,70936220633.2921,79553439779.18901,78609937768.16551,80759664175.50516,86631041800.82759,65150041466.73972,94071163027.79381,93584301573.27835,103331910987.91724,105131759488.88275,76945837684.52414,113571111306.11684,124574813067.87628,99593331906.87889,103180112436.96552,108023290130.47423,138047998916.17868,118201932106.77663,158542489740.274,332982843.9312715,165731569621.7732,77759235061.4433,176499306396.78894,3226370.2853448275,173542073417.8969,690266.6589532872,231558208100.28867,1203191.7538927335,201485318440.6069,4954429.024137931,266052326873.15863,932864.6409460617,299387672005.9382,568228.7956977739,294426470012.92096
7,1171178.842025862,44996617.06944445,10832174.820069205,740741976.7172414,35434588.4742268,1546879518.013793,50466.71380657327,3793674827.034483,5299106.385813149,5367485563.586206,78444617.46712802,7446077337.95189,13917093.148275862,10662436048.331034,686740.625862069,14957318850.206896,104598.63056877162,21461291325.793102,2159420.7172413794,28241319760.657536,174195.03815282535,229863.2615700692,461399183.8896552,249723.9896012931,350411409.814433,217403.10217998282,198671642.26206896,28074089796.85517,110520374.49315068,39835418680.30241,42611396226.64828,48361386760.82758,36655999827.57388,51428116296.38621,11786186.914089346,58655130726.04811,57262242080.54983,67142748504.852234,62514229599.89004,69852437087.33794,70934062280.57732,79552917264.71478,78610432480.22069,80758344869.38832,86635508813.68275,65165365991.45206,94073435955.90378,93584769361.81444,103330398942.45517,105130708455.28276,76946923858.97931,113536730495.56013,124572963083.43643,99592744889.13495,103180017296.77242,108022556031.56013,138047182193.48453,118205344173.30585,158546744642.63013,332980853.11340207,165728121212.04123,77761311747.5189,176560789992.96887,3226217.917241379,173542205897.45703,690059.6987456747,231559134612.67355,1202974.6721453287,201474777596.46896,4953824.906896552,266052299585.32413,933564.2279537672,299389692136.24744,568073.9229452055,294402130257.81445
8,1166705.1640086207,44997802.30555555,10831081.30449827,740542738.5379311,35429438.02061856,1547057925.2965517,50408.90402747845,3791111786.813793,5298425.141868512,5366917432.4965515,78450199.58477509,7446100576.769759,13918243.120689655,10662346056.386208,686468.6336206896,14957348553.268965,104575.2308066609,21461246375.724136,2159020.7439655173,28240810594.19178,174136.49234803082,229862.79865916955,461387557.84827584,249598.42850215518,350496971.87628865,217271.67203608248,198657336.3862069,28073841007.227585,110384744.93150684,39841075002.94158,42617660408.93793,48357621082.04138,36657289040.054985,51430467894.73103,11784958.33676976,58653776047.945015,57260678689.42955,67145145298.254295,62532403791.175255,69849526695.72414,70935669362.36426,79551565669.16838,78607999088.9931,80756830756.94846,86629516337.43448,65174701995.83562,94074490049.53952,93563602190.95532,103332783633.65517,105132061039.22758,76945419807.77931,113598932013.7457,124569870927.17526,99592879617.77162,103183556410.26207,108021460048.93471,138052373894.59793,118201935203.40894,158540926022.137,332969512.46735394,165726549136.2749,77762582239.45016,176517164106.4083,3225338.7327586208,173541560784.49484,689872.875432526,231582918212.61856,1202528.6414359862,201469060823.3931,4953245.951724138,266051356940.3586,935468.2780393836,299386028651.3265,568121.7415453767,294447683633.2646
9,1165885.4549568966,44992152.125,10830044.885813149,740257152.2206897,35429269.97938144,1546962190.5655172,50352.830266702586,3790556465.4344826,5297781.017301038,5367031133.572413,78449454.33910035,7445863309.635738,13912172.8,10662442432.44138,686189.167025862,14957249550.124138,104553.41960423875,21461318324.08276,2158619.149137931,28241603534.90411,174092.91834332192,229862.75648788927,461383859.53103447,249459.03674568966,350426009.2920962,217193.58870274914,198655760.22068965,28073934417.213795,110482716.90410958,39829948324.50859,42617320864.66207,48362850261.62759,36655860479.12028,51430505846.28966,11783914.422680411,58654211589.27835,57262657493.77319,67137727245.19588,62531921842.58419,69853592794.92413,70937681708.86598,79556610843.27148,78610684426.59311,80757577411.29897,86628722080.66206,65157628689.53425,94077187159.9725,93574074635.43643,103332169120.66206,105131574547.42068,76945167070.45517,113638701189.71822,124568927242.5567,99592462477.7301,103194427307.25517,108028936726.87285,138053867569.26462,118199714242.41925,158539803493.69864,332967298.08934706,165726688822.54297,77758996423.6976,176536846222.6159,3224688.097413793,173541647152.3849,689819.8858131488,231572847007.23026,1202260.375,201475424143.0069,4952718.481034483,266052133089.9862,932834.9841609589,299387398263.64264,568006.784567637,294465709636.6185
